date,location,name,organization,type of death,url
"March 29, 2001","Krivenik, Kosovo, Yugoslavia",Kerem Lawton,Associated Press Television News,Crossfire,https://cpj.org/data/people/kerem-lawton/index.php
"December 5, 1995","Algiers, Algeria",Khadija Dahmani,Echourouk al-Arabi,Murder,https://cpj.org/data/people/khadija-dahmani/index.php
"March 10, 2014","Hilla, Babil province, Iraq",Khaled Abdel Thamer,Al-Iraqiya,Dangerous Assignment,https://cpj.org/data/people/khaled-abdel-thamer/index.php
"July 1, 2005","Mosul, Iraq",Khaled al-Attar,Al-Iraqiya,Murder,https://cpj.org/data/people/khaled-al-attar/index.php
"July 30, 2017","Sukhna, Syria",Khaled al-Khateb,RT,Crossfire,https://cpj.org/data/people/khaled-al-khateb/index.php
"January 4, 2015","Dhamar, Yemen",Khaled al-Washli,Al-Masirah TV,Dangerous Assignment,https://cpj.org/data/people/khaled-al-washli/index.php
"June 24, 2016","Benghazi, Libya",Khaled al-Zintani,Freelance,Crossfire,https://cpj.org/data/people/khaled-al-zintani/index.php
"June 24, 2016","Aleppo, Syria",Khaled Eissa,Freelance,Murder,https://cpj.org/data/people/khaled-eissa/index.php
"April 12, 2007","Abu Ghraib, Iraq",Khaled Fayyad Obaid al-Hamdani,Nahrain,Crossfire,https://cpj.org/data/people/khaled-fayyad-obaid-al-hamdani/index.php
"February 23, 2006","Samarra, Iraq",Khaled Mahmoud al-Falahi,Wasan Productions and Al-Arabiya,Murder,https://cpj.org/data/people/khaled-mahmoud-al-falahi/index.php
"July 20, 2014","Gaza, Israel and the Occupied Palestinian Territory",Khaled Reyadh Hamad,Continue Production Films,Crossfire,https://cpj.org/data/people/khaled-reyadh-hamad/index.php
"June 15, 2014","Diyala province, Iraq",Khalid Ali Hamada,Al-Ahad TV,Crossfire,https://cpj.org/data/people/khalid-ali-hamada/index.php
"July 13, 2007","Baghdad, Iraq",Khalid W. Hassan,The New York Times,Murder,https://cpj.org/data/people/khalid-w-hassan/index.php
"April 5, 2007","Baghdad, Iraq",Khamail Khalaf,Radio Free Iraq,Murder,https://cpj.org/data/people/khamail-khalaf/index.php
"July 11, 2008","Phnom Penh, Cambodia",Khem Sambo,Moneaseka Khmer,Murder,https://cpj.org/data/people/khem-sambo/index.php
"December, 1992","place of death unknown, Tajikistan",Khushvaht Muborakshoev,Tajikistan State Television,Murder,https://cpj.org/data/people/khushvaht-muborakshoev/index.php
"May 18, 1994","Dushanbe, Tajikistan",Khushvakht Haydarsho,Jumhuriyat,Murder,https://cpj.org/data/people/khushvakht-haydarsho/index.php
"August 10, 2017","Copenhagen, Denmark",Kim Wall,Freelance,Dangerous Assignment,https://cpj.org/data/people/kim-wall/index.php
"July 30, 2018","Kémo, Central African Republic",Kirill Radchenko,The Investigations Management Centre (TsUR),Dangerous Assignment,https://cpj.org/data/people/kirill-radchenko/index.php
"April 9, 1992","Zvornik, Bosnia",Kjasif Smajlovic,Oslobodjenje,Murder,https://cpj.org/data/people/kjasif-smajlovic/index.php
"May 4, 2005","Dipolog City, Philippines",Klein Cantoneros,DXAA-FM,Murder,https://cpj.org/data/people/klein-cantoneros/index.php
"May 27, 2004","an area near Mahmoudiya , Iraq",Kotaro Ogawa,freelance,Crossfire,https://cpj.org/data/people/kotaro-ogawa/index.php
"April 14, 1992","Foca, Bosnia",Kruno Marinovic,Croatian State Radio,Murder,https://cpj.org/data/people/kruno-marinovic/index.php
"May 24, 2000","Rogberi Junction, Sierra Leone",Kurt Schork,Reuters,Crossfire,https://cpj.org/data/people/kurt-schork/index.php
"July 6, 1996","Lefkosa, Cyprus",Kutlu Adali,Yeni Duzen,Murder,https://cpj.org/data/people/kutlu-adali/index.php
"October 12, 1994","Algiers, Algeria",Lahcene Bensaadallah,El-Irshad,Murder,https://cpj.org/data/people/lahcene-bensaadallah/index.php
"May 8, 2006","south of Baghdad, Iraq",Laith al-Dulaimi,Al-Nahrain,Murder,https://cpj.org/data/people/laith-al-dulaimi/index.php
"December 11, 2004","Colombo, Sri Lanka",Lanka Jayasundara,Wijeya Publications,Dangerous Assignment,https://cpj.org/data/people/lanka-jayasundara/index.php
"June 8, 1998","Elista, Russia",Larisa Yudina,Sovietskaya Kalmykia Segodnya,Murder,https://cpj.org/data/people/larisa-yudina/index.php
"December 20, 2016","Virac, Catanduanes, Philippines",Larry Que,Catanduanes News Now,Murder,https://cpj.org/data/people/larry-que/index.php
"January 8, 2009","an area outside Colombo, Sri Lanka",Lasantha Wickramatunga,The Sunday Leader,Murder,https://cpj.org/data/people/lasantha-wickramatunga/index.php
"May 27, 2012","Damascus, Syria",Lawrence Fahmy al-Naimi,Shaam News Network,Crossfire,https://cpj.org/data/people/lawrence-fahmy-al-naimi/index.php
"July 23, 2006","Sadiqeen, Lebanon",Layal Najib,freelance,Crossfire,https://cpj.org/data/people/layal-najib/index.php
"November 23, 2009","Ampatuan, Philippines",Lea Dalmacio,Socsargen News,Murder,https://cpj.org/data/people/lea-dalmacio/index.php
"April 8, 2012","Mulia, Indonesia",Leiron Kogoya,Papua Pos Nabire and Pasifik Pos Dail,Dangerous Assignment,https://cpj.org/data/people/angelbertha-sinaga/index.php
"March 21, 2018","Gutiérrez Zamora, Mexico",Leobardo Vázquez Atzin,Enlace Informativo Regional,Murder,https://cpj.org/data/people/leobardo-vazquez-atzin/index.php
"February 5, 2018","Acapulco, Mexico",Leslie Ann Pamela Montenegro del Real,El Sillón,Murder,https://cpj.org/data/people/leslie-ann-pamela-montenegro-del-real/index.php
"August 8, 2014","Makhmur District, Iraq",Leyla Yildizhan (Deniz Firat),Firat News Agency,Crossfire,https://cpj.org/data/people/leyla-yildizhan-deniz-firat/index.php
"July 7, 2013","Puntland, Somalia",Liban Abdullahi Farah,Kalsan TV,Murder,https://cpj.org/data/people/liban-abdullahi-farah-1/index.php
"September 20, 2012","Mogadishu, Somalia",Liban Ali Nur,Somali National TV,Murder,https://cpj.org/data/people/liban-ali-nur/index.php
"November 23, 2009","Ampatuan, Philippines",Lindo Lupogan,Mindanao Daily Gazette,Murder,https://cpj.org/data/people/lindo-lupogan/index.php
"April 3, 1994","Sulaymaniyah, Iraq",Lissy Schmidt,"Agence France-Presse, Frankfurter Rundschau, Der Tagesspiegel",Murder,https://cpj.org/data/people/lissy-schmidt/index.php
"January 31, 2013","Arbin, Syria",Loay al-Nimir,Freelance,Crossfire,https://cpj.org/data/people/loay-al-nimir/index.php
"October 1, 2017","Salman, Iraq",Louay Sadiq Meshaal,Al-Nujaba TV,Crossfire,https://cpj.org/data/people/louay-sadik-meshaal/index.php
"January 17, 2011","Tunis, Tunisia",Lucas Mebrouk Dolega,European Pressphoto Agency,Dangerous Assignment,https://cpj.org/data/people/lucas-mebrouk-dolega/index.php
"April 9, 2011","Vitória de Santo Antão, Brazil",Luciano Leitão Pedrosa,TV Vitória and Radio Metropolitana FM,Murder,https://cpj.org/data/people/luciano-leitao-pedrosa/index.php
"February 14, 2015","Doncello, Colombia",Luis Antonio Peralta Cuéllar,Linda Stereo,Murder,https://cpj.org/data/people/luis-antonio-peralta-cuellar/index.php
"September 16, 2010","Ciudad Juárez, Mexico",Luis Carlos Santiago,El Diario,Murder,https://cpj.org/data/people/luis-carlos-santiago/index.php
"March 18, 2003","Arauca, Colombia",Luis Eduardo Alfonso Parada,Radio Meridiano-70,Murder,https://cpj.org/data/people/luis-eduardo-alfonso-parada/index.php
"March 25, 2011","Monterrey, Mexico",Luis Emanuel Ruiz Carrillo,La Prensa,Murder,https://cpj.org/data/people/luis-emanuel-ruiz-carrillo/index.php
"June 14, 2017","Aquiraz, Brazil",Luís Gustavo da Silva,Freelance,Murder,https://cpj.org/data/people/luis-gustavo-da-silva/index.php
"February 12, 1998","Mexico City, Mexico",Luis Mario García Rodríguez,La Tarde,Murder,https://cpj.org/data/people/luis-mario-garcia-rodriguez/index.php
"July 23, 2003","São Bernardo do Campo, Brazil",Luiz Antônio da Costa,Época,Murder,https://cpj.org/data/people/luiz-antonio-da-costa/index.php
"May 5, 2007","Porto Ferreira, Brazil",Luiz Carlos Barbon Filho,"Jornal do Porto, JC Regional, and Rádio Porto FM",Murder,https://cpj.org/data/people/luiz-carlos-barbon-filho/index.php
"December 6, 2014","Shabwa province, Yemen",Luke Somers,Freelance,Murder,https://cpj.org/data/people/luke-somers/index.php
"November 15, 2006","Baqubah, Iraq",Luma al-Karkhi,Al-Dustour,Murder,https://cpj.org/data/people/luma-al-karkhi/index.php
"June 14, 2015","Mława, Poland",Łukasz Masiak,Nasza Mława,Murder,https://cpj.org/data/people/lukasz-masiak-nasza-mlawa/index.php
"May 18, 1992","Patiala, India",M. L. Manchanda,All India Radio,Murder,https://cpj.org/data/people/m-l-manchanda/index.php
"January 9, 1999","Freetown, Sierra Leone",Mabay Kamara,Freelancer,Murder,https://cpj.org/data/people/mabay-kamara/index.php
"March 20, 1994","Algiers, Algeria",Madjid Yacef,L'Hebdo Libéré,Murder,https://cpj.org/data/people/madjid-yacef/index.php
"February 22, 2013","Jaguaribe, Brazil",Mafaldo Bezerra Goes,FM Rio Jaguaribe,Murder,https://cpj.org/data/people/mafaldo-bezerra-goes/index.php
"August 31, 2008","Nazran, Russia",Magomed Yevloyev,Ingushetiya,Murder,https://cpj.org/data/people/magomed-yevloyev/index.php
"June 28, 2005","Makhachkala, Russia",Magomedzagid Varisov,Novoye Delo,Murder,https://cpj.org/data/people/magomedzagid-varisov/index.php
"June 25, 2005","Baghdad, Iraq",Maha Ibrahim,Baghdad TV,Crossfire,https://cpj.org/data/people/maha-ibrahim/index.php
"August 11, 2007","Mogadishu, Somalia",Mahad Ahmed Elmi,Capital Voice,Murder,https://cpj.org/data/people/mahad-ahmed-elmi/index.php
"November 6, 2016","Galkayo, Somalia",Mahad Ali Mohamed,Codka Mudug Radio,Crossfire,https://cpj.org/data/people/mahad-ali-mohamed/index.php
"April 5, 2012","Beledweyne, Somalia",Mahad Salad Adan,Shabelle Media Network,Murder,https://cpj.org/data/people/mahad-salad-adan/index.php
"April 30, 2018","Kabul, Afghanistan",Maharram Durrani,"Radio Azadi,Radio Free Europe/Radio Liberty",Murder,https://cpj.org/data/people/maharram-durrani/index.php
"October 4, 2005","Pokhara, Nepal",Maheshwar Pahari,Rastriya Swabhiman,Dangerous Assignment,https://cpj.org/data/people/maheshwar-pahari/index.php
"November 20, 2012","Gaza Strip, Israel and the Occupied Palestinian Territory",Mahmoud al-Kumi,Al-Aqsa,Crossfire,https://cpj.org/data/people/mahmoud-al-kumi/index.php
"August 15, 2004","Fallujah, Iraq",Mahmoud Hamid Abbas,Zweites Deutsches Fernsehen,Crossfire,https://cpj.org/data/people/mahmoud-hamid-abbas/index.php
"March 14, 2013","Damascus, Syria",Mahmoud Natouf,"Sana al-Thawra, Moadamyat Al-Sham Media Center",Crossfire,https://cpj.org/data/people/mahmoud-natouf/index.php
"August 8, 1998","Mazar-i-Sharif, Afghanistan",Mahmoud Saremi,Iranian News Agency (IRNA),Murder,https://cpj.org/data/people/mahmoud-saremi/index.php
"January 25, 2006","Ramadi, Iraq",Mahmoud Za'al,Baghdad TV,Crossfire,https://cpj.org/data/people/mahmoud-zaal/index.php
"December 10, 2014","Sheikh Miskeen, Daraa province, Syria",Mahran al-Deeri,Al-Jazeera,Crossfire,https://cpj.org/data/people/mahran-al-deeri/index.php
"July 16, 2007","Kirkuk, Iraq",Majeed Mohammed,Kirkuk al-Yawm and Hawal,Murder,https://cpj.org/data/people/majeed-mohammed/index.php
"February 19, 2016","Daraya, Syria",Majid Dirani,Freelance,Crossfire,https://cpj.org/data/people/majid-dirani/index.php
"November 30, 2006","St. Petersburg, Russia",Maksim Maksimov,Gorod,Murder,https://cpj.org/data/people/maksim-maksimov/index.php
"April 16, 2010","Quetta, Pakistan",Malik Arif,Samaa TV,Crossfire,https://cpj.org/data/people/malik-arif/index.php
"May 21, 1995","Reghaia, Algeria",Malika Sabour,Echourouk al-Arabi,Murder,https://cpj.org/data/people/malika-sabour/index.php
"January 15, 2004","Khulna, Bangladesh",Manik Saha,New Age,Murder,https://cpj.org/data/people/manik-saha/index.php
"January 14, 1998","Itabuna, Brazil",Manoel Leal de Oliveira,A Regiao,Murder,https://cpj.org/data/people/manoel-leal-de-oliveira/index.php
"March 11, 1992","New York City, USA",Manuel de Dios Unanue,El Diario/La Prensa,Murder,https://cpj.org/data/people/manuel-de-dios-unanue/index.php
"September 28, 1993","Popayan, Colombia",Manuel Martínez Espinoza,Radio Super,Murder,https://cpj.org/data/people/manuel-martinez-espinoza/index.php
"September 5, 2001","Taloqan/Tashkent, Uzbekistan, Afghanistan",Marc Brunereau,freelance,Crossfire,https://cpj.org/data/people/marc-brunereau/index.php
"April 22, 1994","Kigali, Rwanda",Marcellin Kayiranga,Kanguka,Murder,https://cpj.org/data/people/marcellin-kayiranga/index.php
"February 9, 1995","Mogadishu, Somalia",Marcello Palmisano,RAI,Murder,https://cpj.org/data/people/marcello-palmisano/index.php
"January 28, 1994","Mostar, Bosnia",Marco Luchetta,RAI-TV,Crossfire,https://cpj.org/data/people/marco-luchetta/index.php
"May 1, 1995","Rio Verde, Brazil",Marcos Borges Ribeiro,Independente,Murder,https://cpj.org/data/people/marcos-borges-ribeiro/index.php
"December 23, 2014","Ubatuba, Brazil",Marcos de Barros Leopoldo Guerra,Ubatuba Cobra,Murder,https://cpj.org/data/people/marcos-de-barros-leopoldo-guerra/index.php
"January 21, 2016","Oaxaca, Mexico",Marcos Hernández Bautista,"Noticias, Voz e Imagen de Oaxaca",Murder,https://cpj.org/data/people/marcos-hernandez-bautista/index.php
"December 10, 1993","Chimbote, Peru",María Carlin Fernández,Peruvian Radio and Television Network,Murder,https://cpj.org/data/people/maria-carlin-fernandez/index.php
"October 8, 2017",Colombia,María Efigenia Vásquez Astudillo,Renacer Kokonuko,Crossfire,https://cpj.org/data/people/maria-efigenia-vasquez-astudillo/index.php
"September 24, 2011","an area near Nuevo Laredo, Mexico",Maria Elizabeth Macías Castro,Freelance,Murder,https://cpj.org/data/people/maria-elizabeth-macias-castro/index.php
"November 19, 2001","Nangarhar Province, Afghanistan",Maria Grazia Cutuli,Corriere della Serra,Murder,https://cpj.org/data/people/maria-grazia-cutuli/index.php
"November 9, 2004","Juigalpa, Nicaragua",María José Bravo,La Prensa,Murder,https://cpj.org/data/people/maria-jose-bravo/index.php
"January 15, 1993","Caracas, Venezuela",María Veronica Tessari,Colombian Media,Dangerous Assignment,https://cpj.org/data/people/maria-veronica-tessari/index.php
"June 19, 2006","Mindanao, Philippines",Maricel Vigo,DXND,Murder,https://cpj.org/data/people/maricel-vigo/index.php
"February 22, 2012","Homs, Syria",Marie Colvin,The Sunday Times,Crossfire,https://cpj.org/data/people/marie-colvin/index.php
"November 23, 2009","Ampatuan, Philippines",Marife “Neneng” Montaño,Saksi News and DXCI,Murder,https://cpj.org/data/people/marife-neneng-montano/index.php
"September 21, 2018","Yajalón, Mexico",Mario Leonel Gómez Sánchez,El Heraldo de Chiapas,Murder,https://cpj.org/data/people/mario-leonel-gomez-sanchez/index.php
"February 9, 2012","Barra do Piraí, Brazil",Mario Randolfo Marques Lopes,Vassouras na Net,Murder,https://cpj.org/data/people/mario-randolfo-marques-lopes/index.php
"August 1, 2013","General Santos City, Philippines",Mario Sy,Freelance,Murder,https://cpj.org/data/people/mario-sy/index.php
"November 23, 2009","Ampatuan, Philippines",Marites Cablitas,News Focus and DXDX,Murder,https://cpj.org/data/people/marites-cablitas/index.php
"November 23, 2009","Ampatuan, Philippines",Mark Gilbert Arriola,UNTV,Murder,https://cpj.org/data/people/mark-gilbert-arriola/index.php
"March 24, 2005","Tacurong, Philippines",Marlene Garcia-Esperat,Midland News and DXKR,Murder,https://cpj.org/data/people/marlene-garcia-esperat/index.php
"June 23, 2006","Mogadishu, Somalia",Martin Adler,freelance,Murder,https://cpj.org/data/people/martin-adler/index.php
"February 7, 2004","San Alberto, Colombia",Martín La Rotta,La Palma Estéreo,Murder,https://cpj.org/data/people/martin-la-rotta/index.php
"September 28, 2001","Lurgan, Northern Ireland, UK",Martin O'Hagan,Sunday World,Murder,https://cpj.org/data/people/martin-ohagan/index.php
"August 7, 2008","Roxas City, Philippines",Martin Roxas,DYVR,Murder,https://cpj.org/data/people/martin-roxas/index.php
"April 14, 2017","La Paz, Baja California Sur, Mexico",Maximino Rodríguez,Freelance,Murder,https://cpj.org/data/people/maximino-rodriguez/index.php
"September 26, 2012","Damascus, Syria",Maya Naser,Press TV,Crossfire,https://cpj.org/data/people/maya-naser/index.php
"March 28, 2014","Cairo, Egypt",Mayada Ashraf,Al-Dustour,Crossfire,https://cpj.org/data/people/mayada-ashraf/index.php
"September 12, 2004","Baghdad, Iraq",Mazen al-Tumeizi,Al-Arabiya,Crossfire,https://cpj.org/data/people/mazen-al-tumeizi/index.php
"August 17, 2003","outside Baghdad, Iraq",Mazen Dana,Reuters,Crossfire,https://cpj.org/data/people/mazen-dana/index.php
"February 4, 2012","Homs, Syria",Mazhar Tayyara,Freelance,Crossfire,https://cpj.org/data/people/mazhar-tayyara/index.php
"April 28, 2007","Charsadda, Pakistan",Mehboob Khan,freelance,Dangerous Assignment,https://cpj.org/data/people/mehboob-khan/index.php
"August 8, 2016","Quetta, Pakistan",Mehmood Khan,DawnNews,Dangerous Assignment,https://cpj.org/data/people/mehmood-khan/index.php
"April 4, 1995","Constantine, Algeria",Mekhlouf Boukzer,Algerian State Television,Murder,https://cpj.org/data/people/mekhlouf-boukzer/index.php
"January 8, 1996","Istanbul, Turkey",Metin Göktepe,Evrensel,Murder,https://cpj.org/data/people/metin-goktepe/index.php
"April 3, 2003","outside of Baghdad, Iraq",Michael Kelly,Atlantic Monthly and The Washington Post,Crossfire,https://cpj.org/data/people/michael-kelly/index.php
"July 7, 1997","Phnom Penh, Cambodia",Michael Senior,Freelancer,Murder,https://cpj.org/data/people/michael-senior/index.php
"January 13, 2014","Britz, South Africa",Michael Tshele,Freelance,Murder,https://cpj.org/data/people/michael-tshele/index.php
"December 30, 2009","an area south of Kandahar, Afghanistan",Michelle Lang,Calgary Herald and Canwest News Service,Crossfire,https://cpj.org/data/people/michelle-lang/index.php
"August 14, 2013","Cairo, Egypt",Mick Deane,Sky News,Dangerous Assignment,https://cpj.org/data/people/mick-deane/index.php
"May 24, 2000","Rogberi Junction, Sierra Leone",Miguel Gil Moreno de Mora,The Associated Press,Crossfire,https://cpj.org/data/people/miguel-gil-moreno-de-mora/index.php
"March 17, 2007","Jaén, Peru",Miguel Pérez Julca,Radio Éxitos,Murder,https://cpj.org/data/people/miguel-perez-julca/index.php
"August 20, 2012","Aleppo, Syria",Mika Yamamoto,Japan Press,Crossfire,https://cpj.org/data/people/mika-yamamoto/index.php
"April 8, 2013","Khimki, Russia",Mikhail Beketov,Khimkinskaya Pravda,Murder,https://cpj.org/data/people/mikhail-beketov/index.php
"June 11, 2001","Jagodina, Serbia, Yugoslavia",Milan Pantic,Vecernje Novosti,Murder,https://cpj.org/data/people/milan-pantic/index.php
"January 15, 2000","Jhenaidah, Bangladesh",Mir Illias Hossain,Dainik Bir Darpan,Murder,https://cpj.org/data/people/mir-illias-hossain/index.php
"March 20, 1994","Mogadishu, Somalia",Miran Krovatin,RAI-3 Television,Murder,https://cpj.org/data/people/miran-krovatin/index.php
"March 23, 2017","Chihuahua, Mexico",Miroslava Breach Velducea,La Jornada,Murder,https://cpj.org/data/people/miroslava-breach-velducea/index.php
"July 29, 1994","an area near Kabul, Afghanistan",Mirwais Jalil,BBC World Service,Murder,https://cpj.org/data/people/mirwais-jalil/index.php
"January 10, 2013","Quetta, Pakistan",Mirza Iqbal Hussain,News Network International,Dangerous Assignment,https://cpj.org/data/people/mirza-iqbal-hussain/index.php
"September 14, 2010","Hangu, Pakistan",Misri Khan,Ausaf and Mashriq,Murder,https://cpj.org/data/people/misri-khan/index.php
"March 12, 2017","Daraa, Syria",Mohamed Abazied (George Samara),Nabd Syria Satellite Station/ Syria Media Organization (SMO),Crossfire,https://cpj.org/data/people/mohamed-abazied-george-samara/index.php
"March 27, 1995","Algiers, Algeria",Mohamed Abderrahmani,El-Moudjahid,Murder,https://cpj.org/data/people/mohamed-abderrahmani/index.php
"March 22, 2004","West Bank, Israel and the Occupied Palestinian Territory",Mohamed Abu Halima,Al-Najah,Crossfire,https://cpj.org/data/people/mohamed-abu-halima/index.php
"November 19, 2013","Aleppo, Syria",Mohamed Ahmed Taysir Bellou,Shahba Press,Crossfire,https://cpj.org/data/people/mohamed-ahmed-taysir-bellou/index.php
"February 24, 2011","Ramadi, Iraq",Mohamed al-Hamdani,Al-Itijah,Dangerous Assignment,https://cpj.org/data/people/mohamed-al-hamdani/index.php
"November 25, 2012","Deir al-Zour, Syria",Mohamed al-Khal,Freelance,Crossfire,https://cpj.org/data/people/mohamed-al-khal/index.php
"January 18, 2013","Daraa, Syria",Mohamed al-Mesalma,Al-Jazeera,Crossfire,https://cpj.org/data/people/mohamed-al-mesalma/index.php
"December 3, 2009","Mogadishu, Somalia",Mohamed Amin,Radio Shabelle,Crossfire,https://cpj.org/data/people/mohamed-amin/index.php
"February 11, 1996","Algiers, Algeria",Mohamed Dorbane,Le Soir d'Algérie,Murder,https://cpj.org/data/people/mohamed-dorbane/index.php
"August 12, 1996","Algiers, Algeria",Mohamed Guessab,Algerian Radio,Murder,https://cpj.org/data/people/mohamed-guessab/index.php
"April 21, 2013","Mogadishu, Somalia",Mohamed Ibrahim Raage,"Radio Mogadishu, Somali National Television",Murder,https://cpj.org/data/people/mohamed-ibrahim-raage/index.php
"December 5, 2014","Baidoa, Somalia",Mohamed Isaq,Kalsan TV,Murder,https://cpj.org/data/people/mohamed-isaq/index.php
"July 21, 1994","Unknown, Algeria",Mohamed Lamine Legoui,Algerian Press Service,Murder,https://cpj.org/data/people/mohamed-lamine-legoui/index.php
"April 13, 1994","near Chlef, Algeria",Mohamed Meceffeuk,Détective,Murder,https://cpj.org/data/people/mohamed-meceffeuk/index.php
"January 10, 1996","Ain Naadja, Algeria",Mohamed Mekati,El-Moudjahid,Murder,https://cpj.org/data/people/mohamed-mekati/index.php
"October 26, 2013","Mogadishu, Somalia",Mohamed Mohamud,Universal TV,Murder,https://cpj.org/data/people/mohamed-mohamud/index.php
"October 28, 2012","Mogadishu, Somalia",Mohamed Mohamud Turyare,Shabelle Media Network,Murder,https://cpj.org/data/people/mohamed-mohamud-turyare/index.php
"November 28, 2012","Darya, Syria",Mohamed Quratem,Enab Baladi,Crossfire,https://cpj.org/data/people/mohamed-quratem/index.php
"February 17, 2013","Qaboun, Damascus, Syria",Mohamed Saeed al-Hamwi,Qaboun Media Center,Crossfire,https://cpj.org/data/people/mohamed-saeed-al-hamwi/index.php
"October 20, 1994","Boufarik, Algeria",Mohamed Salah Benachour,Algerian Press Service,Murder,https://cpj.org/data/people/mohamed-salah-benachour/index.php
"April 20, 2015","Sana'a, Yemen",Mohamed Shamsan,Yemen Today,Crossfire,https://cpj.org/data/people/mohamed-shamsan/index.php
"June 27, 2014","Daraa, Syria",Mohamed Taani,SMART News Agency,Crossfire,https://cpj.org/data/people/mohamed-taani/index.php
"November 24, 2013","Aleppo, Syria",Mohamed Yamen Naddaf,Shahba Press,Crossfire,https://cpj.org/data/people/mohamed-yamen-naddaf/index.php
"August 7, 2006","Baghdad, Iraq",Mohammad Abbas Mohammad,Al-Bayinnah al-Jadida,Murder,https://cpj.org/data/people/mohammad-abbas-mohammad/index.php
"January 22, 2018","al-Khayami, Yemen",Mohammad al-Qadasi,Belqees TV,Crossfire,https://cpj.org/data/people/mohammad-al-qadasi/index.php
"June 6, 2007","Yusufiya, Iraq",Mohammad Hilal Karji,Baghdad TV,Murder,https://cpj.org/data/people/mohammad-hilal-karji/index.php
"January 4, 2009","Dera Ismail Khan, Pakistan",Mohammad Imran,Express TV,Dangerous Assignment,https://cpj.org/data/people/mohammad-imran/index.php
"December 15, 2016","Mohammed Agha District, Logar Province, Afghanistan",Mohammad Nasir Mudasir,Melli Paigham Radio,Murder,https://cpj.org/data/people/mohammad-nasir-mudasir/index.php
"February 19, 1996","Nilphamari, Bangladesh",Mohammad Quamruzzaman,Neel Sagar,Dangerous Assignment,https://cpj.org/data/people/mohammad-quamruzzaman/index.php
"October 29, 2013","Aleppo, Syria",Mohammad Saeed,Al-Arabiya,Murder,https://cpj.org/data/people/mohammad-saeed/index.php
"December 6, 1994","Karachi, Pakistan",Mohammad Samdani Warsi,Parcham,Murder,https://cpj.org/data/people/mohammad-samdani-warsi/index.php
"June 27, 2012","Doursha, Syria",Mohammad Shamma,Al-Ikhbariya,Crossfire,https://cpj.org/data/people/mohammad-shamma/index.php
"May 5, 2007","Galkayo, Somalia",Mohammed Abdullahi Khalif,Voice of Peace,Crossfire,https://cpj.org/data/people/mohammed-abdullahi-khalif/index.php
"June 26, 2015","Daraa, Syria",Mohammed al-Asfar,Al-Jazeera,Crossfire,https://cpj.org/data/people/mohammed-al-asfar/index.php
"October 10, 2012","Deir Al-Zour, Syria",Mohammed al-Ashram,Al-Ikhbariya,Crossfire,https://cpj.org/data/people/mohammed-al-ashram/index.php
"March 19, 2011","Benghazi, Libya",Mohammed al-Nabbous,Libya Al-Hurra TV,Crossfire,https://cpj.org/data/people/mohammed-al-nabbous/index.php
"September 10, 2014","Idlib province, Syria",Mohammed al-Qasim,Rozana Radio,Crossfire,https://cpj.org/data/people/mohammed-al-qasim/index.php
October 2015 - June 2016,"Deir al-Zour, Syria",Mohammed Eissa,Nateq Network,Murder,https://cpj.org/data/people/mohammed-eissa/index.php
"March 21, 2016","Taiz, Yemen",Mohammed Ghalib al-Majidi,Freelance,Crossfire,https://cpj.org/data/people/mohammed-ghalib-al-majidi/index.php
"October 5, 2013","Mosul, Iraq",Mohammed Ghanem,Al-Sharqiyah,Murder,https://cpj.org/data/people/mohammed-ghanem-1/index.php
"October 19, 2005","Baghdad, Iraq",Mohammed Haroon,Al-Kadiya,Murder,https://cpj.org/data/people/mohammed-haroon/index.php
"August 30, 1994","Mostar, Bosnia",Mohammed Hussein Navab,Keyhan,Murder,https://cpj.org/data/people/mohammed-hussein-navab/index.php
"May 22, 2008","Khar, Pakistan",Mohammed Ibrahim,Express TV and Daily Express,Murder,https://cpj.org/data/people/mohammed-ibrahim/index.php
"January 9, 1999","Freetown, Sierra Leone",Mohammed Kamara,SKY-FM,Murder,https://cpj.org/data/people/mohammed-kamara/index.php
"October 5, 2013","Mosul, Iraq",Mohammed Karim al-Badrani,Al-Sharqiyah,Murder,https://cpj.org/data/people/mohammed-karim-al-badrani/index.php
"April 1, 2008","Barpukhuri, India",Mohammed Muslimuddin,Asomiya Pratidin,Murder,https://cpj.org/data/people/mohammed-muslimuddin/index.php
"December 4, 1994","Karachi, Pakistan",Mohammed Salahuddin,Takbeer,Murder,https://cpj.org/data/people/mohammed-salahuddin/index.php
"August 1, 2016","Atareb, Syria",Mohammed Sayyed Hassan,"All4Syria, Al-Nabaa Media Center",Crossfire,https://cpj.org/data/people/mohammed-sayyed-hassan/index.php
"September 6, 2006","Khartoum, Sudan",Mohammed Taha Mohammed Ahmed,Al-Wifaq,Murder,https://cpj.org/data/people/mohammed-taha-mohammed-ahmed/index.php
"July 4, 2009","Mogadishu, Somalia",Mohamud Mohamed Yusuf,Radio IQK,Crossfire,https://cpj.org/data/people/mohamud-mohamed-yusuf/index.php
"March 4, 2007","Baghdad, Iraq",Mohan Hussein al-Dhahir,Al-Mashreq,Murder,https://cpj.org/data/people/mohan-hussein-al-dhahir/index.php
"June 17, 2008","north of Mosul, Iraq",Mohieldin Al Naqeeb,Al-Iraqiya,Murder,https://cpj.org/data/people/mohieldin-al-naqeeb/index.php
