date,location,name,organization,type of death,url
"August 23, 1992","Juanjui, Peru",Adolfo Isuiza Urquia,Radio Tropical,Murder,https://cpj.org/data/people/adolfo-isuiza-urquia/index.php
"November 12, 1994","Kasangulu, Democratic Republic of the Congo",Adolphe Missamba Ndengi Kavula,Nsemo,Murder,https://cpj.org/data/people/adolphe-missamba-ndengi-kavula/index.php
"November 14, 2012","Tehuacán, Mexico",Adrián Silva Moreno,Freelance,Dangerous Assignment,https://cpj.org/data/people/adrian-silva-moreno/index.php
"September 25, 1999","Baucau, East Timor",Agus Muliawan,Asia Press International,Dangerous Assignment,https://cpj.org/data/people/agus-muliawan/index.php
"August 2, 2016","Aleppo, Syria",Ahmad Hallak,Al-Buraq Media Institution,Crossfire,https://cpj.org/data/people/ahmad-hallak/index.php
"August 25, 2003","Mosul, Iraq",Ahmad Kareem,Kurdistan TV,Crossfire,https://cpj.org/data/people/ahmad-kareem/index.php
"February 4, 2011","Cairo, Egypt",Ahmad Mohamed Mahmoud,Al-Ta'awun,Dangerous Assignment,https://cpj.org/data/people/ahmad-mohamed-mahmoud/index.php
"July 28, 2011","Tarin Kot, Afghanistan",Ahmad Omaid Khpalwak,"Pajhwok Afghan News, BBC",Crossfire,https://cpj.org/data/people/ahmad-omaid-khpalwak/index.php
"October 12, 2006","Baghdad, Iraq",Ahmad Sha'ban,Al-Shaabiya,Murder,https://cpj.org/data/people/ahmad-shaban/index.php
"June 18, 1995","Constantine, Algeria",Ahmed (aka Hakim) Takouchet,Radio Cirta,Murder,https://cpj.org/data/people/ahmed-aka-hakim-takouchet/index.php
"August 14, 2013","Cairo, Egypt",Ahmed Abdel Gawad,"Al-Akhbar, Misr25",Dangerous Assignment,https://cpj.org/data/people/ahmed-abdel-gawad/index.php
"November 6, 2015","Sukayk, Hama province, Syria",Ahmed Abu al-Hamza,"SMART News Agency, Hama Media Center",Crossfire,https://cpj.org/data/people/ahmed-abu-al-hamza/index.php
"April 25, 2018","Jabalia, Israel and the Occupied Palestinian Territory",Ahmed Abu Hussein,"Voice of the People Radio,Bisan News Agency",Dangerous Assignment,https://cpj.org/data/people/ahmed-abu-hussein/index.php
"May 15, 2005","Latifiyah, Iraq",Ahmed Adam,Al-Mada,Murder,https://cpj.org/data/people/ahmed-adam/index.php
"May 24, 2012","Mogadishu, Somalia",Ahmed Addow Anshur,Shabelle Media Network,Murder,https://cpj.org/data/people/ahmed-addow-anshur/index.php
"May 27, 2012","Damascus, Syria",Ahmed Adnan al-Ashlaq,Shaam News Network,Crossfire,https://cpj.org/data/people/ahmed-adnan-al-ashlaq/index.php
"May 28, 2012","Homs, Syria",Ahmed al-Assam,Freelance,Crossfire,https://cpj.org/data/people/ahmed-al-assam/index.php
